#               IMAGE      NPIX      MEAN    STDDEV       MIN       MAX
 fb-EFOSC.2010-02-27T00:47:27.317.fits   4243600     4237.   1.545E6  -1.313E9   1.523E9
 fb-EFOSC.2010-02-27T00:51:40.804.fits   4243600     3347.   1.052E6  -5.154E8   9.769E8
 fb-EFOSC.2010-02-27T00:54:03.688.fits   4243600     3027.   1.477E6  -1.418E9   1.418E9
 fb-EFOSC.2010-02-27T00:56:26.672.fits   4243600     2743.   846665.  -7.424E8   6.829E8
 fb-EFOSC.2010-02-27T00:58:49.666.fits   4243600     2046.   1.002E6  -1.418E9   5.861E8
 fb-EFOSC.2010-02-27T01:01:12.651.fits   4243600     1568.   1.467E6  -1.628E9   8.930E8
 fb-EFOSC.2010-02-27T01:03:35.695.fits   4243600     2563.   834303.  -6.981E8   5.984E8
 fb-EFOSC.2010-02-27T01:05:58.680.fits   4243600     2300.   869884.  -8.930E8   8.930E8
 fb-EFOSC.2010-02-27T01:08:21.665.fits   4243600     2056.   903988.  -6.829E8   7.879E8
 fb-EFOSC.2010-02-27T01:10:44.919.fits   4243600     2090.   1.048E6  -6.829E8   1.208E9
 fb-EFOSC.2010-02-27T01:13:07.663.fits   4243600     2840.   1.177E6  -4.705E8   1.523E9
 fb-EFOSC.2010-02-27T01:15:30.658.fits   4243600     3094.   1.152E6  -3.809E8   1.164E9
 fb-EFOSC.2010-02-27T01:17:53.662.fits   4243600     2229.   915789.  -6.643E8   9.980E8
 fb-EFOSC.2010-02-27T01:20:16.657.fits   4243600     1862.   770247.  -6.829E8   6.829E8
 fb-EFOSC.2010-02-27T01:22:39.661.fits   4243600     2062.   873300.  -4.322E8   1.103E9
 fb-EFOSC.2010-02-27T01:25:02.675.fits   4243600     2051.   1.183E6  -1.208E9   9.769E8
 fb-EFOSC.2010-02-27T01:27:25.670.fits   4243600     1661.   867673.  -8.930E8   6.498E8
 fb-EFOSC.2010-02-27T01:29:48.664.fits   4243600     1392.   878123.  -6.050E8   9.769E8
 fb-EFOSC.2010-02-27T01:32:11.668.fits   4243600     2194.   1.050E6  -7.424E8   1.313E9
 fb-EFOSC.2010-02-27T01:49:30.624.fits   4243600     1495.   1.184E6  -1.208E9   9.187E8
 fb-EFOSC.2010-02-27T01:52:36.134.fits   4243600     1290.   807832.  -6.829E8   5.778E8
 fb-EFOSC.2010-02-27T01:54:59.209.fits   4243600     2047.   1.050E6  -6.050E8   1.208E9
 fb-EFOSC.2010-02-27T01:57:22.233.fits   4243600     1683.   973538.  -5.778E8   1.524E9
 fb-EFOSC.2010-02-27T01:59:45.188.fits   4243600     1099.   1.340E6  -1.628E9   1.523E9
 fb-EFOSC.2010-02-27T02:02:08.182.fits   4243600     2093.   1.062E6  -7.879E8   1.418E9
 fb-EFOSC.2010-02-27T02:04:31.267.fits   4243600     2721.   1.292E6  -6.050E8   1.313E9
 fb-EFOSC.2010-02-27T02:06:54.241.fits   4243600     1399.   950732.  -1.313E9   4.298E8
 fb-EFOSC.2010-02-27T02:09:17.195.fits   4243600     202.7   1.133E6  -1.208E9   4.705E8
 fb-EFOSC.2010-02-27T02:11:40.200.fits   4243600     2801.   1.403E6  -8.930E8   1.733E9
 fb-EFOSC.2010-02-27T02:14:03.214.fits   4243600     2290.   1.099E6  -4.728E8   1.602E9
 fb-EFOSC.2010-02-27T02:16:26.188.fits   4243600     2178.   1.099E6  -7.879E8   9.980E8
 fb-EFOSC.2010-02-27T02:18:49.193.fits   4243600     1015.   988244.  -8.930E8   8.206E8
 fb-EFOSC.2010-02-27T02:21:12.178.fits   4243600     2428.   849985.  -5.080E8   7.879E8
 fb-EFOSC.2010-02-27T02:23:35.202.fits   4243600     2321.   1.071E6  -6.829E8   1.211E9
 fb-EFOSC.2010-02-27T02:25:58.206.fits   4243600     1601.   901445.  -8.930E8   7.424E8
 fb-EFOSC.2010-02-27T02:28:21.191.fits   4243600     1980.   1.178E6  -1.208E9   9.980E8
 fb-EFOSC.2010-02-27T02:30:44.185.fits   4243600     2966.   1.236E6  -3.677E8   1.838E9
 fb-EFOSC.2010-02-27T02:33:07.230.fits   4243600     1968.   968819.  -8.930E8   8.930E8
 fb-EFOSC.2010-02-27T02:35:30.194.fits   4243600     2209.   1.006E6  -1.103E9   7.842E8
 fb-EFOSC.2010-02-27T02:37:53.198.fits   4243600     1523.   1.121E6  -8.206E8   1.208E9
 fb-EFOSC.2010-02-27T02:40:41.833.fits   4243600     2652.   1.219E6  -5.319E8   1.418E9
 fb-EFOSC.2010-02-27T02:43:05.187.fits   4243600     1613.   755137.  -4.728E8   5.652E8
 fb-EFOSC.2010-02-27T02:45:28.191.fits   4243600     2653.   1.608E6  -1.230E9   1.944E9
 fb-EFOSC.2010-02-27T02:47:51.226.fits   4243600     2766.   1.344E6  -7.879E8   1.733E9
 fb-EFOSC.2010-02-27T02:50:14.191.fits   4243600     2692.   1.582E6  -5.080E8   2.574E9
 fb-EFOSC.2010-02-27T02:52:37.225.fits   4243600     2020.   1.003E6  -1.053E9   8.930E8
 fb-EFOSC.2010-02-27T02:55:00.249.fits   4243600     2139.   978366.  -3.657E8   1.628E9
 fb-EFOSC.2010-02-27T02:57:23.204.fits   4243600     2010.   1.040E6  -7.879E8   9.980E8
 fb-EFOSC.2010-02-27T02:59:46.238.fits   4243600     1857.   927584.  -9.980E8   7.879E8
 fb-EFOSC.2010-02-27T03:02:09.242.fits   4243600     2322.   1.112E6  -9.641E8   1.103E9
 fb-EFOSC.2010-02-27T03:04:32.207.fits   4243600     2256.   972532.  -6.829E8   8.930E8
