#               IMAGE      NPIX      MEAN    STDDEV       MIN       MAX
 EFOSC.2010-02-25T20:04:19.803.fits   4243600     207.7     7.226      171.     2007.
 EFOSC.2010-02-25T20:05:38.763.fits   4243600     208.5     17.38      159.    22870.
 EFOSC.2010-02-25T20:06:57.703.fits   4243600     208.8      10.7      174.     7867.
 EFOSC.2010-02-25T20:08:16.703.fits   4243600     208.9     7.795      162.     6803.
 EFOSC.2010-02-25T20:09:35.763.fits   4243600      209.     7.161      173.     1761.
 EFOSC.2010-02-25T20:10:54.703.fits   4243600     209.1     9.824      169.    13880.
 EFOSC.2010-02-25T20:12:13.113.fits   4243600     209.2     8.821      173.     4849.
 EFOSC.2010-02-25T20:13:32.764.fits   4243600     209.1      7.89      171.     7045.
 EFOSC.2010-02-25T20:14:51.694.fits   4243600     209.2      7.14      168.     1410.
 EFOSC.2010-02-26T11:28:41.859.fits   4243600     208.8     7.226      170.     2084.
 EFOSC.2010-02-26T11:30:01.730.fits   4243600     209.5     8.529      159.     8394.
 EFOSC.2010-02-26T11:31:20.719.fits   4243600     209.6     7.515      172.     4557.
 EFOSC.2010-02-26T11:32:39.740.fits   4243600     209.8     7.179      159.     1874.
 EFOSC.2010-02-26T11:33:58.800.fits   4243600     209.8     6.934      173.      803.
 EFOSC.2010-02-26T11:35:18.740.fits   4243600     209.9      8.99      158.     8711.
 EFOSC.2010-02-26T11:36:37.720.fits   4243600     209.9     7.094      166.     1467.
 EFOSC.2010-02-26T11:37:56.720.fits   4243600      210.     7.712      155.     3713.
 EFOSC.2010-02-26T11:39:15.800.fits   4243600     210.1     7.311      154.     2900.
 EFOSC.2010-02-26T11:40:35.770.fits   4243600     210.1     7.367      174.     3363.
 EFOSC.2010-02-26T19:32:01.995.fits   4243600     204.8     7.401      163.     1278.
 EFOSC.2010-02-26T19:33:21.725.fits   4243600     208.3     7.896      151.     4389.
 EFOSC.2010-02-26T19:34:40.796.fits   4243600     209.1     7.237      162.     2455.
 EFOSC.2010-02-26T19:35:59.736.fits   4243600     209.4     8.045      172.     5270.
 EFOSC.2010-02-26T19:37:18.786.fits   4243600     209.4     8.216      157.     3101.
 EFOSC.2010-02-26T19:38:37.736.fits   4243600     209.7     7.182      166.     1570.
 EFOSC.2010-02-26T19:39:56.746.fits   4243600     209.6     7.122      170.     1128.
 EFOSC.2010-02-26T19:41:15.785.fits   4243600     209.5     7.598      163.     2215.
 EFOSC.2010-02-26T19:42:34.726.fits   4243600     209.5     7.385      162.     2881.
 EFOSC.2010-02-26T19:43:53.776.fits   4243600     209.4     7.847      160.     4804.
 EFOSC.2010-02-27T19:56:51.881.fits   4243600     204.3     8.156      160.     3531.
 EFOSC.2010-02-27T19:58:11.291.fits   4243600     208.3      7.09      165.     1601.
 EFOSC.2010-02-27T19:59:30.231.fits   4243600     208.9     8.278      173.     6579.
 EFOSC.2010-02-27T20:00:48.542.fits   4243600     209.3     7.113      173.     2222.
 EFOSC.2010-02-27T20:02:08.261.fits   4243600     209.7     8.012      174.     4277.
 EFOSC.2010-02-27T20:03:27.221.fits   4243600      210.     7.537      165.     3279.
 EFOSC.2010-02-27T20:04:45.681.fits   4243600     210.1     8.191      164.     8755.
 EFOSC.2010-02-27T20:06:05.272.fits   4243600     210.1     8.016      163.     7491.
 EFOSC.2010-02-27T20:07:24.242.fits   4243600     210.2     7.041      165.     1689.
 EFOSC.2010-02-27T20:08:43.282.fits   4243600     210.3     7.265      168.     2252.
 EFOSC.2010-02-28T19:46:00.733.fits   4243600     207.6     142.7      154.     6753.
 EFOSC.2010-02-28T19:47:20.253.fits   4243600     211.2     142.1      162.     6732.
 EFOSC.2010-02-28T19:48:39.243.fits   4243600     211.9     140.6      169.     6695.
 EFOSC.2010-02-28T19:49:57.793.fits   4243600     212.2     135.6      173.     6505.
 EFOSC.2010-02-28T19:51:17.243.fits   4243600     212.2     127.3      164.     6158.
 EFOSC.2010-02-28T19:52:36.243.fits   4243600     209.5     7.343      165.     2308.
 EFOSC.2010-02-28T19:53:54.593.fits   4243600     209.7       7.6      169.     2631.
 EFOSC.2010-02-28T19:55:14.294.fits   4243600     209.7     7.326      169.     3056.
 EFOSC.2010-02-28T19:56:33.254.fits   4243600     209.7      6.96      176.     1232.
 EFOSC.2010-02-28T19:57:52.264.fits   4243600     209.8     11.23      173.    17160.
