#               IMAGE      NPIX      MEAN    STDDEV       MIN       MAX
 EFOSC.2010-02-25T23:35:17.290.fits   4243600    35121.     5468.      166.    65535.
 EFOSC.2010-02-25T23:36:48.874.fits   4243600    24424.     3811.      170.    65535.
 EFOSC.2010-02-25T23:40:20.955.fits   4243600    10490.     1624.      163.    40128.
 EFOSC.2010-02-25T23:41:45.848.fits   4243600    38313.     5967.      169.    65535.
 EFOSC.2010-02-25T23:43:13.932.fits   4243600    36290.     5652.      150.    65535.
 EFOSC.2010-02-25T23:44:44.986.fits   4243600    34153.     5320.      167.    65535.
 EFOSC.2010-02-25T23:46:19.018.fits   4243600    31988.     4984.      166.    65535.
 EFOSC.2010-02-25T23:47:57.049.fits   4243600    29836.     4651.      174.    65535.
 EFOSC.2010-02-26T23:36:31.887.fits   4243600    20612.     3219.      165.    65535.
 EFOSC.2010-02-26T23:37:56.840.fits   4243600    39256.     6112.      151.    65535.
 EFOSC.2010-02-26T23:39:23.713.fits   4243600    36589.     5697.      171.    65535.
 EFOSC.2010-02-26T23:40:51.777.fits   4243600    35206.     5483.      169.    65535.
 EFOSC.2010-02-26T23:42:20.620.fits   4243600    33318.     5190.      175.    65535.
 EFOSC.2010-02-26T23:43:51.775.fits   4243600    31581.     4921.      164.    65535.
 EFOSC.2010-02-27T23:32:34.687.fits   4243600    36286.     5649.      161.    65535.
 EFOSC.2010-02-27T23:42:10.906.fits   4243600     3788.     571.6      164.    14186.
 EFOSC.2010-02-27T23:43:36.358.fits   4243600    37566.     5852.      162.    65535.
 EFOSC.2010-02-27T23:45:14.505.fits   4243600    35149.     5476.      157.    65535.
 EFOSC.2010-02-27T23:47:00.506.fits   4243600    32639.     5086.      165.    65535.
 EFOSC.2010-02-27T23:48:57.550.fits   4243600    30509.     4756.      144.    65535.
 EFOSC.2010-02-27T23:51:13.503.fits   4243600    29242.     4560.      152.    65535.
